Measure_seaMeanlevel,date,Value_seaMeanlevel
Baltic Sea,2000-01-06,220.4
Andaman Sea,2000-01-07,0.44
Arabian Sea,2000-01-07,-29.9
Atlantic Ocean,2000-01-07,7.25
Bay Bengal,2000-01-07,3.35
Bering Sea,2000-01-07,4.44
Caribbean Sea,2000-01-07,-37.09
Gulf Mexico,2000-01-07,-11.2
Indian Ocean,2000-01-07,-0.08
Indonesian,2000-01-07,108.88
Mediterranean,2000-01-07,-31.07
Nino,2000-01-07,-21.05
North Atlantic,2000-01-07,35.87
North Pacific,2000-01-07,14.35
North Sea,2000-01-07,74.91
Pacific Ocean,2000-01-07,-13.16
Persian Gulf,2000-01-07,43.81
Sea Japan,2000-01-07,48.18
Sea Okhotsk,2000-01-07,46.26
South China,2000-01-07,19.52
Southern Ocean,2000-01-07,9.18
Tropics,2000-01-07,-13.86
World,2000-01-07,-2.88
Yellow Sea,2000-01-07,14.86
Adriatic Sea,2000-01-08,-17.24
Baltic Sea,2000-01-16,282.3
North Sea,2000-01-16,66.51
Sea Okhotsk,2000-01-16,-13.64
Andaman Sea,2000-01-17,-46.16
Arabian Sea,2000-01-17,-16.0
Atlantic Ocean,2000-01-17,13.65
Bay Bengal,2000-01-17,7.75
Bering Sea,2000-01-17,-26.06
Caribbean Sea,2000-01-17,-31.69
Gulf Mexico,2000-01-17,-16.8
Indian Ocean,2000-01-17,7.22
Indonesian,2000-01-17,97.08
Mediterranean,2000-01-17,-49.07
Nino,2000-01-17,-19.65
North Atlantic,2000-01-17,22.47
North Pacific,2000-01-17,-8.15
Pacific Ocean,2000-01-17,-17.56
Persian Gulf,2000-01-17,87.21
Sea Japan,2000-01-17,25.78
South China,2000-01-17,36.82
Southern Ocean,2000-01-17,15.28
Tropics,2000-01-17,-12.46
World,2000-01-17,-2.98
Adriatic Sea,2000-01-18,-32.64
Yellow Sea,2000-01-18,-11.64
Baltic Sea,2000-01-26,108.3
North Sea,2000-01-26,48.61
Sea Okhotsk,2000-01-26,-21.84
Andaman Sea,2000-01-27,-73.66
Arabian Sea,2000-01-27,-16.2
Atlantic Ocean,2000-01-27,9.15
Bay Bengal,2000-01-27,14.15
Bering Sea,2000-01-27,-67.56
Caribbean Sea,2000-01-27,-50.29
Gulf Mexico,2000-01-27,-29.0
Indian Ocean,2000-01-27,20.42
Indonesian,2000-01-27,121.58
Mediterranean,2000-01-27,-41.47
Nino,2000-01-27,-7.75
North Atlantic,2000-01-27,6.07
North Pacific,2000-01-27,-19.05
Pacific Ocean,2000-01-27,-7.36
Persian Gulf,2000-01-27,61.61
Sea Japan,2000-01-27,-18.12
South China,2000-01-27,140.72
Southern Ocean,2000-01-27,28.48
Tropics,2000-01-27,-4.66
World,2000-01-27,3.62
Adriatic Sea,2000-01-28,-10.54
Yellow Sea,2000-01-28,-83.64
Sea Okhotsk,2000-02-04,-26.54
Baltic Sea,2000-02-05,212.6
North Sea,2000-02-05,118.21
Andaman Sea,2000-02-06,-78.56
Arabian Sea,2000-02-06,-10.4
Atlantic Ocean,2000-02-06,1.85
Bay Bengal,2000-02-06,-11.95
Bering Sea,2000-02-06,-68.16
Caribbean Sea,2000-02-06,-65.09
Gulf Mexico,2000-02-06,-51.2
Indian Ocean,2000-02-06,17.92
Indonesian,2000-02-06,121.88
Mediterranean,2000-02-06,-40.07
Nino,2000-02-06,-11.65
North Atlantic,2000-02-06,4.37
North Pacific,2000-02-06,-43.65
Pacific Ocean,2000-02-06,-6.86
Persian Gulf,2000-02-06,-68.79
Sea Japan,2000-02-06,-25.52
South China,2000-02-06,83.82
Southern Ocean,2000-02-06,28.68
Tropics,2000-02-06,-6.46
World,2000-02-06,0.92
Adriatic Sea,2000-02-07,-18.74
Yellow Sea,2000-02-07,-72.54
Andaman Sea,2000-02-15,-68.36
Baltic Sea,2000-02-15,357.7
North Sea,2000-02-15,72.21
Sea Okhotsk,2000-02-15,6.66
Arabian Sea,2000-02-16,-18.9
Atlantic Ocean,2000-02-16,5.25
Bay Bengal,2000-02-16,-7.45
Bering Sea,2000-02-16,-47.96
Caribbean Sea,2000-02-16,-56.99
Gulf Mexico,2000-02-16,-32.4
Indian Ocean,2000-02-16,7.42
Indonesian,2000-02-16,134.98
Mediterranean,2000-02-16,-29.67
Nino,2000-02-16,-8.75
North Atlantic,2000-02-16,10.47
North Pacific,2000-02-16,-40.85
Pacific Ocean,2000-02-16,-9.16
Persian Gulf,2000-02-16,-52.49
Sea Japan,2000-02-16,-30.82
South China,2000-02-16,15.92
Southern Ocean,2000-02-16,20.28
Tropics,2000-02-16,-6.46
World,2000-02-16,-1.38
Yellow Sea,2000-02-16,-48.54
Adriatic Sea,2000-02-17,0.06
Andaman Sea,2000-02-25,-76.76
Baltic Sea,2000-02-25,201.6
